metric,UH14_10x,UH14_parse,UH16_10x,UH16_parse,UH17_10x,UH17_parse,UH19_10x,UH19_parse,UH23_10x,UH23_parse,UH24_10x,UH24_parse,UH25_10x,UH25_parse,UH26_10x,UH26_parse
mean_reads_per_cell,"16,484",986,"11,631","14,118","13,612","23,954","5,870","16,984","6,113","38,502","9,745","32,013","4,449","32,962","11,712","40,598"
median_genes_per_cell,"2,695",73,"2,395","1,368","2,432","1,927","1,829","2,092","2,009","3,513","2,663","3,313","1,544","3,561","2,651","3,168"
median_umi_per_cell,"6,022",83,"5,929","2,179","6,391","4,558","3,189","5,017","3,566","9,331","5,171","7,595","2,632","8,701","5,465","8,278"
number_of_cells,40,"2,061","20,991","2,145","24,780","1,720","30,508","1,435","23,411","2,268","23,256","2,037","20,852","3,135","26,823","2,850"
number_of_reads,"659,366","2,032,955","244,142,544","30,283,760","337,310,646","41,202,039","179,091,880","24,373,279","143,110,582","87,324,672","226,634,300","65,212,299","92,769,156","103,338,091","314,159,580","115,706,522"
number_of_umi,,"768,813",,"9,780,441",,"15,664,174",,"11,013,069",,"34,675,669",,"25,697,255",,"41,091,715",,"42,712,033"
